rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
TiledBlurBigSigma,TiledBlurBigSigma,BLUR,blur-large-sigma-gated,expected-unsupported,0.0,0.0,true,1024,768,0,786432,255/255/254/0,158.99/158.99/173.17/0.0,unsupported.blur.large_sigma,images/reference/TiledBlurBigSigma.png,images/generated/TiledBlurBigSigma.png,images/diff/TiledBlurBigSigma.png,
aaxfermodes,aaxfermodes,COMPOSITE,composite-porter-duff,instrumented-existing,17.382764227642276,14.0,true,984,625,106904,615000,255/255/255/255,42.37/55.25/85.28/6.81,none,images/reference/aaxfermodes.png,images/generated/aaxfermodes.png,images/diff/aaxfermodes.png,
aarectmodes,aarectmodes,COMPOSITE,composite-porter-duff,instrumented-existing,53.12988281249999,30.8,true,640,480,163215,307200,255/255/255/255,71.45/72.97/50.38/24.36,none,images/reference/aarectmodes.png,images/generated/aarectmodes.png,images/diff/aarectmodes.png,
arithmode_blender,arithmode_blender,COMPOSITE,composite-porter-duff,instrumented-existing,43.46030245746692,0.0,true,460,920,183924,423200,255/255/255/0,70.22/72.36/70.59/0.0,none,images/reference/arithmode_blender.png,images/generated/arithmode_blender.png,images/diff/arithmode_blender.png,
backdrop_hintrect_clipping,backdrop_hintrect_clipping,COMPOSITE,composite-backdrop-gated,expected-unsupported,42.755889892578125,0.0,true,512,1024,224164,524288,255/255/255/0,129.55/129.55/138.31/0.0,unsupported.composition.backdrop_filter,images/reference/backdrop_hintrect_clipping.png,images/generated/backdrop_hintrect_clipping.png,images/diff/backdrop_hintrect_clipping.png,
backdrop_imagefilter_croprect,backdrop_imagefilter_croprect,COMPOSITE,composite-backdrop-gated,expected-unsupported,54.800000000000004,0.0,true,600,500,164400,300000,255/255/255/0,137.47/172.26/21.81/0.0,unsupported.composition.backdrop_filter,images/reference/backdrop_imagefilter_croprect.png,images/generated/backdrop_imagefilter_croprect.png,images/diff/backdrop_imagefilter_croprect.png,
badpaint,badpaint,COMPOSITE,composite-src-over-basic,instrumented-existing,36.0,31.0,true,100,100,3600,10000,0/255/255/0,0.0/255.0/255.0/0.0,none,images/reference/badpaint.png,images/generated/badpaint.png,images/diff/badpaint.png,
clip_shader_difference,clip_shader_difference,COMPOSITE,composite-src-over-basic,instrumented-existing,0.0,0.0,true,512,512,0,262144,119/255/255/0,78.02/165.83/165.83/0.0,none,images/reference/clip_shader_difference.png,images/generated/clip_shader_difference.png,images/diff/clip_shader_difference.png,
clipshadermatrix,clipshadermatrix,COMPOSITE,composite-src-over-basic,instrumented-existing,17.106681034482758,0.0,true,145,128,3175,18560,255/255/255/0,101.53/89.07/160.02/0.0,none,images/reference/clipshadermatrix.png,images/generated/clipshadermatrix.png,images/diff/clipshadermatrix.png,
clip_shader_layer,clip_shader_layer,COMPOSITE,composite-save-layer-gated,expected-unsupported,58.080668604651166,0.0,true,430,320,79919,137600,0/255/255/0,0.0/250.59/250.59/0.0,unsupported.composition.save_layer,images/reference/clip_shader_layer.png,images/generated/clip_shader_layer.png,images/diff/clip_shader_layer.png,
clip_shader_nested,clip_shader_nested,COMPOSITE,composite-src-over-basic,instrumented-existing,6.781005859375,0.0,true,256,256,4444,65536,255/255/255/0,198.65/194.03/187.66/0.0,none,images/reference/clip_shader_nested.png,images/generated/clip_shader_nested.png,images/diff/clip_shader_nested.png,
clip_shader_persp,clip_shader_persp,COMPOSITE,composite-src-over-basic,instrumented-existing,76.54000425200198,0.0,true,1370,1030,1080056,1411100,255/255/255/0,166.39/177.09/188.05/0.0,none,images/reference/clip_shader_persp.png,images/generated/clip_shader_persp.png,images/diff/clip_shader_persp.png,
clip_shader,clip_shader,COMPOSITE,composite-src-over-basic,instrumented-existing,61.901282051282045,0.0,true,840,650,337981,546000,255/255/255/0,108.57/128.44/234.49/0.0,none,images/reference/clip_shader.png,images/generated/clip_shader.png,images/diff/clip_shader.png,
color4blendcf,color4blendcf,COMPOSITE,composite-color-filter-gated,instrumented-existing,30.555555555555557,0.0,true,360,480,52800,172800,255/255/255/0,159.33/159.33/159.33/0.0,none,images/reference/color4blendcf.png,images/generated/color4blendcf.png,images/diff/color4blendcf.png,
color4shader,color4shader,COMPOSITE,composite-src-over-basic,instrumented-existing,82.11805555555556,0.0,true,360,480,141900,172800,255/255/255/0,169.59/169.59/169.59/0.0,none,images/reference/color4shader.png,images/generated/color4shader.png,images/diff/color4shader.png,
colorfilterimagefilter,colorfilterimagefilter,COMPOSITE,composite-image-filter-gated,expected-unsupported,69.79693486590038,44.8,true,435,120,36434,52200,255/255/255/0,85.25/113.52/129.37/0.0,unsupported.composition.image_filter_dag,images/reference/colorfilterimagefilter.png,images/generated/colorfilterimagefilter.png,images/diff/colorfilterimagefilter.png,
colorfilterimagefilter_layer,colorfilterimagefilter_layer,COMPOSITE,composite-save-layer-gated,expected-unsupported,0.0,0.0,true,32,32,0,1024,201/54/54/0,201.0/54.0/54.0/0.0,unsupported.composition.save_layer,images/reference/colorfilterimagefilter_layer.png,images/generated/colorfilterimagefilter_layer.png,images/diff/colorfilterimagefilter_layer.png,
colorfiltershader,colorfiltershader,COMPOSITE,composite-color-filter-gated,instrumented-existing,39.31335662456329,34.3,true,610,610,146133,372100,255/255/255/0,143.79/146.52/80.35/0.0,none,images/reference/colorfiltershader.png,images/generated/colorfiltershader.png,images/diff/colorfiltershader.png,
lightingcolorfilter,lightingcolorfilter,COMPOSITE,composite-color-filter-gated,instrumented-existing,21.230307576894223,0.0,true,620,430,56600,266600,255/255/255/0,194.62/188.26/181.89/0.0,none,images/reference/lightingcolorfilter.png,images/generated/lightingcolorfilter.png,images/diff/lightingcolorfilter.png,
colormatrix,colormatrix,COMPOSITE,composite-src-over-basic,instrumented-existing,38.585,0.0,true,500,160,30868,80000,255/255/255/255,59.32/57.34/109.68/74.63,none,images/reference/colormatrix.png,images/generated/colormatrix.png,images/diff/colormatrix.png,
colorcomposefilter_alpha,colorcomposefilter_alpha,COMPOSITE,composite-src-over-basic,no-score,,0.0,,790,790,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/colorcomposefilter_alpha.png,,,generated-render-missing
colorcomposefilter_wacky,colorcomposefilter_wacky,COMPOSITE,composite-src-over-basic,no-score,,0.0,,790,790,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/colorcomposefilter_wacky.png,,,generated-render-missing
