upstream_cpp	n_gm	kt_files	gm_status	source_tags	test_files	disabled_tags	bucket
bitmapshader	2	BitmapShaderGM.kt,HugeBitmapShaderGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BitmapShaderWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BitmapShaderTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BitmapShaderCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/HugeBitmapShaderTest.kt	ALIAS	alias
bitmaptiled	4	BitmapTiledGM.kt	TEST_DISABLED	INTRACTABLE.GPU_ONLY	skia-integration-tests/src/test/kotlin/org/skia/tests/BitmapTiledTest.kt	INTRACTABLE.GPU_ONLY,SLOW.GM_STRESS	gpu-intractable
bleed	2	BleedDownscaleGM.kt,SrcRectConstraintGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/SrcRectConstraintWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BleedDownscaleTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/SrcRectConstraintTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/SrcRectConstraintCrossBackendTest.kt	STUB.SRC_RECT_CONSTRAINT	implementation
blurcircles	1	BlurCirclesGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurCirclesCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurCirclesTest.kt	-	ported
blurcircles2	1	BlurCircles2GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BlurCircles2Test.kt	-	ported
blurignorexform	1	BlurIgnoreXformGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BlurIgnoreXformTest.kt	-	ported
blurimagevmask	2	BlurImageGM.kt,BlurImageVMaskGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurImageCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurImageTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurImageVMaskTest.kt	-	ported
blurpositioning	1	BlurPositioningGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurPositioningCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurPositioningTest.kt	-	ported
blurquickreject	1	BlurQuickRejectGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurQuickRejectCrossBackendTest.kt	-	ported
blurrect	4	BlurMatrixRectGM.kt,BlurRectCompareGM.kt,BlurRectGM.kt,BlurRectGalleryGM.kt	PARTIAL	STUB.BLURRECT_GALLERY	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BlurRectCompareWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurMatrixRectTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurRectCompareTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurRectCompareCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurRectTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BlurRectWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurRectCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurRectGalleryTest.kt	STUB.BLURRECT_GALLERY,STUB.BLUR_RECTS_FULL,STUB.BLUR_RECT_COMPARE	implementation
