selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
228,linear_gradient_tiny,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,55.0,,generated-render-missing,True,False,600,500
229,persp_shaders_bw,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,300,250
230,persp_shaders_aa,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,300,250
231,radial_gradient2,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,50.9,,generated-render-missing,True,False,800,400
232,radial_gradient3,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,9.8,,generated-render-missing,True,False,500,500
233,radial_gradient3_nodither,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,9.8,,generated-render-missing,True,False,500,500
234,radial_gradient4,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,32.7,,generated-render-missing,True,False,500,500
235,radial_gradient4_nodither,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,32.7,,generated-render-missing,True,False,500,500
236,radial_gradient,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,33.5,,generated-render-missing,True,False,1280,1280
237,radial_gradient_precision,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,200,200
238,scaled_tilemode_gradient,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,650,610
239,shallow_gradient_conical,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,800,800
240,shallow_gradient_conical_nodither,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,800,800
241,shallow_gradient_linear,GRADIENT,non-blocking,trusted,failure,failed,other,,invalid.preflight.core_primitive_direct_geometry_resources,invalid.preflight.core_primitive_direct_geometry_resources,0,0,,0.0,,generated-render-missing,True,False,800,800
242,shallow_gradient_linear_nodither,GRADIENT,non-blocking,trusted,failure,failed,other,,invalid.preflight.core_primitive_direct_geometry_resources,invalid.preflight.core_primitive_direct_geometry_resources,0,0,,0.0,,generated-render-missing,True,False,800,800
243,shallow_gradient_radial,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,0.0,,generated-render-missing,True,False,800,800
244,shallow_gradient_radial_nodither,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,0.0,,generated-render-missing,True,False,800,800
245,shallow_gradient_sweep,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,0.0,,generated-render-missing,True,False,800,800
246,shallow_gradient_sweep_nodither,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,0.0,,generated-render-missing,True,False,800,800
