selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
36,rrect_blurs,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,300,400
37,simpleblurroundrect,BLUR,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,64.3,,generated-render-missing,True,False,1000,500
38,smallemboss,BLUR,non-blocking,trusted,gpu,rendered,other,,,,2,0,0.0,0.0,True,,True,True,50,50
39,tablemaskfilter,BLUR,non-blocking,trusted,gpu,rendered,other,,,,2,0,83.47375,0.0,True,,True,True,400,400
40,TiledBlurBigSigma,BLUR,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,1024,768
41,aaclip,CLIP,non-blocking,trusted,failure,failed,path-clip,,invalid.preflight.core_primitive_path_stencil_msaa_authority,invalid.preflight.core_primitive_path_stencil_msaa_authority,0,0,,88.2,,generated-render-missing,True,False,240,120
42,circular-clips,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,800,200
43,clipcubic,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,61.9,,generated-render-missing,True,False,400,410
44,clipdrawdraw,CLIP,non-blocking,trusted,gpu,rendered,other,,,,6,0,99.65286254882812,24.0,True,,True,True,512,512
45,cliplargerect,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,47.7,,generated-render-missing,True,False,256,256
46,clip_region,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,256,256
47,clip_sierpinski_region,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,263,263
48,clip_strokerect,CLIP,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,71.8,,generated-render-missing,True,False,200,400
49,clipsuperrrect,CLIP,non-blocking,missing,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,reference-missing,False,False,256,256
50,complexclip3_complex,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,400,950
51,complexclip3_simple,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,400,950
52,complexclip4_aa,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,970,780
53,complexclip4_bw,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,970,780
54,complexclip_aa,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,388,780
55,complexclip_aa_invert,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,388,780
56,complexclip_aa_layer,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,388,780
57,complexclip_aa_layer_invert,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,388,780
58,complexclip_blur_tiled,CLIP,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,512,512
59,complexclip_bw,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,388,780
60,complexclip_bw_invert,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,388,780
61,complexclip_bw_layer,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,388,780
62,complexclip_bw_layer_invert,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,388,780
63,convex_poly_clip,CLIP,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,870,540
64,crbug_892988,CLIP,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,9.5,,generated-render-missing,True,False,256,256
65,croppedrects,CLIP,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,0.0,,generated-render-missing,True,False,500,500
66,distantclip,CLIP,non-blocking,trusted,gpu,rendered,other,,,,3,0,100.0,0.0,True,,True,True,100,100
67,fast_constraint_red_is_allowed,CLIP,non-blocking,trusted,gpu,rendered-no-score,other,,,,7,0,,80.0,,size-mismatch,True,True,800,1000
68,fast_constraint_red_is_allowed_manual,CLIP,non-blocking,trusted,gpu,rendered-no-score,other,,,,7,0,,0.0,,size-mismatch,True,True,800,1000
69,inverseclip,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,52.1,,generated-render-missing,True,False,400,400
70,manypathatlases_128,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,128,128
71,manypathatlases_2048,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,128,128
72,pdf_crbug_772685,CLIP,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.frame-build-contract,invalid.surface.prepared.frame-build-contract,0,0,,0.0,,generated-render-missing,True,False,612,792
73,perspective_clip,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,800,800
74,rrect_clip_aa,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,640,480
75,rrect_clip_bw,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,640,480
76,rrect_clip_draw_paint,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.composite.clip,unsupported.composite.clip,unsupported.composite.clip,0,0,,0.0,,generated-render-missing,True,False,256,256
77,simpleaaclip_path,CLIP,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,0.0,,generated-render-missing,True,False,500,240
78,simpleaaclip_rect,CLIP,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,0.0,,generated-render-missing,True,False,500,240
79,skbug1719,CLIP,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.frame-build-contract,invalid.surface.prepared.frame-build-contract,0,0,,0.0,,generated-render-missing,True,False,300,100
80,skbug_9319,CLIP,non-blocking,trusted,failure,failed,other,,invalid.preflight.core_primitive_clip_producer_authority,invalid.preflight.core_primitive_clip_producer_authority,0,0,,0.0,,generated-render-missing,True,False,256,512
81,strict_constraint_batch_no_red_allowed,CLIP,non-blocking,trusted,gpu,rendered-no-score,other,,,,7,0,,80.0,,size-mismatch,True,True,800,1000
82,strict_constraint_batch_no_red_allowed_manual,CLIP,non-blocking,trusted,gpu,rendered-no-score,other,,,,7,0,,0.0,,size-mismatch,True,True,800,1000
83,strict_constraint_no_red_allowed,CLIP,non-blocking,trusted,gpu,rendered-no-score,other,,,,4,0,,80.0,,size-mismatch,True,True,800,1000
84,strict_constraint_no_red_allowed_manual,CLIP,non-blocking,trusted,gpu,rendered-no-score,other,,,,4,0,,0.0,,size-mismatch,True,True,800,1000
85,windowrectangles,CLIP,non-blocking,trusted,refusal,refused,path-clip,unsupported.recording.core_primitive_analytic_shape_clip,unsupported.recording.core_primitive_analytic_shape_clip,unsupported.recording.core_primitive_analytic_shape_clip,0,0,,0.0,,generated-render-missing,True,False,600,600
86,color,COLOR,non-blocking,missing,gpu,rendered-no-score,other,,,,5,0,,0.0,,reference-missing,False,True,256,256
87,filter,COLOR,non-blocking,missing,gpu,rendered-no-score,other,,,,5,0,,0.0,,reference-missing,False,True,256,256
88,orientation,COLOR,non-blocking,missing,gpu,rendered-no-score,other,,,,5,0,,0.0,,reference-missing,False,True,200,160
89,p3_ovals,COLOR,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,450,320
90,paint_alpha_normals_rt,COLOR,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,512,512
91,rect,COLOR,non-blocking,missing,gpu,rendered-no-score,other,,,,6,0,,0.0,,reference-missing,False,True,256,256
92,shader,COLOR,non-blocking,missing,failure,failed,other,,invalid.preflight.core_primitive_direct_geometry_resources,invalid.preflight.core_primitive_direct_geometry_resources,0,0,,0.0,,reference-missing,False,False,256,256
93,aaxfermodes,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.picture.budget,unsupported.composite.picture.budget,unsupported.composite.picture.budget,0,0,,14.0,,generated-render-missing,True,False,984,625
94,aarectmodes,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.preflight,unsupported.composite.preflight,unsupported.composite.preflight,0,0,,30.8,,generated-render-missing,True,False,640,480
95,arithmode_blender,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.operation,unsupported.composite.operation,unsupported.composite.operation,0,0,,0.0,,generated-render-missing,True,False,460,920
96,backdrop_hintrect_clipping,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,512,1024
97,backdrop_imagefilter_croprect,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,600,500
98,badpaint,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,31.0,,generated-render-missing,True,False,100,100
99,clip_shader_difference,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,0.0,0.0,True,,True,True,512,512
100,clipshadermatrix,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,145,128
101,clip_shader_layer,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,58.080668604651166,0.0,True,,True,True,430,320
102,clip_shader_nested,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,256,256
103,clip_shader_persp,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,76.54000425200198,0.0,True,,True,True,1370,1030
104,clip_shader,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,61.901282051282045,0.0,True,,True,True,840,650
105,color4blendcf,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,13,0,82.63888888888889,0.0,True,,True,True,360,480
106,color4shader,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,13,0,82.63888888888889,0.0,True,,True,True,360,480
107,colorfilterimagefilter,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,44.8,,generated-render-missing,True,False,435,120
108,colorfilterimagefilter_layer,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,32,32
109,colorfiltershader,COMPOSITE,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,34.3,,generated-render-missing,True,False,610,610
110,lightingcolorfilter,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,0.0,,generated-render-missing,True,False,620,430
111,colormatrix,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,500,160
112,colorcomposefilter_alpha,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,790,790
113,colorcomposefilter_wacky,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,790,790
114,compare_atlas_vertices,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,560,585
115,composeshader_alpha,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,12.1,,generated-render-missing,True,False,750,220
116,composeshader_bitmap,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,175,50
117,composeshader_bitmap_lm,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,175,50
118,composeshader,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,25.6,,generated-render-missing,True,False,120,120
119,composeshader_grid,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,4.5,,generated-render-missing,True,False,882,882
120,composeCFIF,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,604,200
121,compositor_quads_color,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,955,231
122,crbug_1162942,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,0,0,,0.0,,generated-render-missing,True,False,620,200
123,crbug_1167277,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,16,0,94.41576086956522,0.0,True,,True,True,230,320
124,crbug_1174186,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,0,0,,0.0,,generated-render-missing,True,False,1200,1200
125,crbug_1177833,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,400,400
126,crbug_918512,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,256,256
127,destcolor,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,640,640
128,discard,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,102,0,0.0,0.0,True,,True,True,100,100
129,displacement,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,600,500
130,draw-atlas-colors,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.atlas.source_blend,unsupported.image.atlas.source_blend,unsupported.image.atlas.source_blend,0,0,,0.0,,generated-render-missing,True,False,930,266
131,draw-atlas,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.atlas.source_blend,unsupported.image.atlas.source_blend,unsupported.image.atlas.source_blend,0,0,,0.0,,generated-render-missing,True,False,640,480
132,draw_image_set_alpha_only,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,161,0,0.0,0.0,True,,True,True,200,400
133,draw_image_set,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,1000,725
134,draw_image_set_rect_to_rect,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,506,0,0.05072941176470588,0.0,True,,True,True,1250,850
135,draw_quad_set,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,800,800
136,dropshadow_pseudopersp,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,155,155
137,dstreadshuffle,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,530,680
138,ducky_yuv_blend,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,6.619469026548673,0.0,True,,True,True,560,1130
139,encode,IMAGE,non-blocking,trusted,failure,failed,other,,invalid.preflight.text.dependency,invalid.preflight.text.dependency,0,0,,0.0,,generated-render-missing,True,False,1024,600
140,fadefilter,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,2,0,100.0,70.0,True,,True,True,256,256
141,filterfastbounds,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,900,700
142,hslcolorfilter,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,840,1100
143,hairmodes,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,41.5,,generated-render-missing,True,False,640,480
144,highcontrastfilter,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,800,420
145,hsl,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,600,100
146,HSL_duck,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,23.26474861958733,0.0,True,,True,True,1110,620
147,imagefilter_composed_transform,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,74.57275390625,0.0,True,,True,True,512,512
148,imagefilter_convolve_subset,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,32.177083333333336,0.0,True,,True,True,160,180
149,imagefiltersbase,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,700,500
150,imagefiltersclipped,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,860,500
151,imagefilterscropped,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,0,0,,0.0,,generated-render-missing,True,False,400,960
152,imagefilters_effect_order,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,1.019287109375,0.0,True,,True,True,512,512
153,imagefiltersstroked,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,860,500
154,imagefilter_matrix_localmatrix,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,74.76692199707031,0.0,True,,True,True,512,512
155,imagefilterstransformed,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,420,240
156,imagefiltersunpremul,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,3,0,0.0,0.0,True,,True,True,64,64
157,imagefilters_xfermodes,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,480,480
158,internal_links,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,700,500
159,lcdblendmodes,COMPOSITE,non-blocking,trusted,failure,failed,other,,invalid.preflight.text.blend,invalid.preflight.text.blend,0,0,,0.0,,generated-render-missing,True,False,720,750
160,lighting,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,660,660
161,localmatriximagefilter,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,640,640
162,luminosity_overflow,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,256,256
163,matriximagefilter,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,3,0,7.85,0.0,True,,True,True,420,100
164,mixerCF,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,1200,900
165,modecolorfilters,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,route,route,2382,0,27.06298828125,0.0,True,,True,True,512,1024
