gm,refusalCode,rootCauseBucket,item
AlternateLuma,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
arithmode,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
color_cube_rt,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
composeCF,unsupported.material.sweep_gradient_capability_missing,unsupported material feature,none
runtime_intrinsics_common,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtime_intrinsics_exponential,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtime_intrinsics_geometric,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtime_intrinsics_matrix,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtime_intrinsics_relational,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtime_intrinsics_trig,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
kawase_blur_rt,unsupported.composite.paint,unsupported composite operation,none
lineargradientrt,reference-missing,missing reference artifact (chantier B),none
lumafilter,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
rippleshader,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
rtif_distort,unsupported.composite.paint,unsupported composite operation,none
rtif_unsharp,unsupported.composite.operation,unsupported composite operation,none
runtimecolorfilter,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtimefunctions,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
runtime_shader,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
spiral_rt,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
threshold_rt,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
unsharp_rt,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
annotated_text,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
bigtext_crbug_1370488,unsupported.text.atlas_page_budget_exceeded,unsupported text/glyph feature,none
bigtext,unsupported.text.atlas_page_budget_exceeded,unsupported text/glyph feature,none
blob_rsxform_distortable,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
blob_rsxform,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
chrome_gradtext2,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
cliperror,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
coloremoji_colrv0,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
coloremoji,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
colorwheelnative,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
coloremoji_blendmodes_colrv0,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
coloremoji_blendmodes,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
colrv1_gradient_stops_repeat,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
crbug_1073670,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
dftext_blob_persp,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
dftext,unsupported.text.transform_perspective,unsupported text/glyph feature,none
drawTextRSXform,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
fontmgr_bounds,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
font_palette_default,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
fontscalerdistortable,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
fontscaler,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
gammatext_color_shader,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
gammatext,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
getpostextpath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
gradtext,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
largeglyphblur,unsupported.text.atlas_page_budget_exceeded,unsupported text/glyph feature,none
lcdoverlap,invalid.preflight.text.blend,invalid frame plan / preflight seal,none
macaa_colors,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
mixedtextblobs,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
overdraw_text_xform,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
pdf_never_embed,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
persptext,unsupported.text.transform_perspective,unsupported text/glyph feature,none
persptext_minimal,unsupported.text.transform_perspective,unsupported text/glyph feature,none
scaledemojiperspective_colrv0,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
scaledemojipos_colrv0,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
scaledemoji_colrv0,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
scaledemoji_rendering,unsupported.text.font_bytes_malformed,unsupported text/glyph feature,none
shadertext3,unsupported.material.mapping.local_matrix,unsupported material feature,none
skbug_257,unsupported.material.source_unimplemented,unsupported material feature,none
skbug_8955,unsupported.text.transform_singular,unsupported text/glyph feature,none
slug,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
stroketext,unsupported.text.path_effect_unsupported,unsupported text/glyph feature,none
stroketext_native,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
surfaceprops,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
textblobblockreordering,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
textblobcolortrans,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
textblobgeometrychange,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
textblob,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
textblob_intercepts,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
textblobmixedsizes,unsupported.text.mask_generation_failed,unsupported text/glyph feature,none
textblobrandomfont,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
textblobtransforms,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
textblobuseaftergpufree,invalid.prepared-surface.run-plan,invalid frame plan / preflight seal,none
fancyblobunderline,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
textfilter_color,unsupported.composite.operation,unsupported composite operation,none
textfilter_image,unsupported.composite.operation,unsupported composite operation,none
text_scale_skew,below-threshold-similarity,below-threshold similarity (documented divergence),none
text_scale_skew_rotate,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
typefacerendering,unsupported.layer.bounds_unbounded,unsupported layer feature,none
typefacestyles,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
typefacestyles_kerning,invalid.surface.prepared.text-command,invalid frame plan / preflight seal,none
typeface_styling,unsupported.text.paint_style_unsupported,unsupported text/glyph feature,none
user_typeface,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
