rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
mixedtextblobs,mixedtextblobs,TEXT,text-blob-gated,expected-unsupported,0.8509714285714285,0.0,true,1250,700,7446,875000,255/255/255/0,74.8/74.74/75.9/0.0,unsupported.text.glyph_cache,images/reference/mixedtextblobs.png,images/generated/mixedtextblobs.png,images/diff/mixedtextblobs.png,
overdraw_text_xform,overdraw_text_xform,TEXT,text-basic-latin,instrumented-existing,42.391204833984375,41.9,true,512,512,111126,262144,255/255/255/0,179.84/179.84/179.84/0.0,none,images/reference/overdraw_text_xform.png,images/generated/overdraw_text_xform.png,images/diff/overdraw_text_xform.png,
palette,palette,TEXT,text-color-palette-gated,expected-unsupported,97.9888916015625,0.0,true,512,256,128436,131072,255/255/255/0,254.5/127.5/127.5/0.0,unsupported.text.palette,images/reference/palette.png,images/generated/palette.png,images/diff/palette.png,
pdf_never_embed,pdf_never_embed,TEXT,text-basic-latin,no-score,,0.0,,512,512,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/pdf_never_embed.png,,,generated-render-missing
pdf_table_based_subset,pdf_table_based_subset,TEXT,text-basic-latin,no-score,,0.0,,512,128,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/pdf_table_based_subset.png,,,generated-render-missing
persptext,persptext,TEXT,text-perspective-or-transform-gated,expected-unsupported,90.45270284016928,90.0,true,1024,768,711349,786432,255/255/255/0,205.67/205.67/205.67/0.0,unsupported.text.perspective,images/reference/persptext.png,images/generated/persptext.png,images/diff/persptext.png,
persptext_minimal,persptext_minimal,TEXT,text-perspective-or-transform-gated,no-score,,80.0,,1024,768,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.perspective,images/reference/persptext_minimal.png,,,generated-render-missing
rsx_blob_shader,rsx_blob_shader,TEXT,text-shader-or-gradient-gated,no-score,,0.0,,881,881,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.shader_or_gradient,images/reference/rsx_blob_shader.png,images/generated/rsx_blob_shader.png,,size-mismatch
scaledemojiperspective_colrv0,scaledemojiperspective_colrv0,TEXT,text-perspective-or-transform-gated,expected-unsupported,0.04555555555555556,0.0,true,1200,1200,656,1440000,128/128/128/0,25.88/21.04/25.54/0.0,unsupported.text.perspective,images/reference/scaledemojiperspective_colrv0.png,images/generated/scaledemojiperspective_colrv0.png,images/diff/scaledemojiperspective_colrv0.png,
scaledemojipos_colrv0,scaledemojipos_colrv0,TEXT,text-emoji-gated,expected-unsupported,0.017777777777777778,0.0,true,1200,1200,256,1440000,128/128/128/0,27.53/22.08/27.05/0.0,unsupported.text.emoji,images/reference/scaledemojipos_colrv0.png,images/generated/scaledemojipos_colrv0.png,images/diff/scaledemojipos_colrv0.png,
scaledemoji_colrv0,scaledemoji_colrv0,TEXT,text-emoji-gated,expected-unsupported,0.008888888888888889,0.0,true,1200,1200,128,1440000,128/128/128/0,19.07/16.03/18.51/0.0,unsupported.text.emoji,images/reference/scaledemoji_colrv0.png,images/generated/scaledemoji_colrv0.png,images/diff/scaledemoji_colrv0.png,
scaledemoji_rendering,scaledemoji_rendering,TEXT,text-emoji-gated,expected-unsupported,0.07930555555555555,0.0,true,1200,1200,1142,1440000,255/255/255/0,25.35/27.92/28.51/0.0,unsupported.text.emoji,images/reference/scaledemoji_rendering.png,images/generated/scaledemoji_rendering.png,images/diff/scaledemoji_rendering.png,
shadertext3,shadertext3,TEXT,text-shader-or-gradient-gated,expected-unsupported,55.0034093889326,0.0,true,820,930,419456,762600,246/236/233/0,125.95/108.73/135.45/0.0,unsupported.text.shader_or_gradient,images/reference/shadertext3.png,images/generated/shadertext3.png,images/diff/shadertext3.png,
