rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
kawase_blur_rt,kawase_blur_rt,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,76.66666666666667,76.66666666666667,true,1280,768,753664,983040,252/254/253/0,131.4/137.52/152.41/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/kawase_blur_rt.png,images/generated/kawase_blur_rt.png,images/diff/kawase_blur_rt.png,
lineargradientrt,lineargradientrt,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/lineargradientrt.png,,reference-missing
lumafilter,lumafilter,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,600,420,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/lumafilter.png,images/generated/lumafilter.png,,size-mismatch
rippleshader,rippleshader,RUNTIME_EFFECT,runtime-effect-registered,instrumented-existing,0.0,0.0,true,512,512,0,262144,255/255/255/0,149.01/135.07/177.11/0.0,none,images/reference/rippleshader.png,images/generated/rippleshader.png,images/diff/rippleshader.png,
rtif_distort,rtif_distort,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,0.0,0.0,true,500,750,0,375000,255/255/255/0,189.88/190.79/190.0/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/rtif_distort.png,images/generated/rtif_distort.png,images/diff/rtif_distort.png,
rtif_unsharp,rtif_unsharp,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,0.00152587890625,0.00152587890625,true,512,256,2,131072,255/255/251/0,79.5/82.86/93.4/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/rtif_unsharp.png,images/generated/rtif_unsharp.png,images/diff/rtif_unsharp.png,
runtimecolorfilter,runtimecolorfilter,RUNTIME_EFFECT,runtime-effect-registered,instrumented-existing,16.666666666666664,0.0,true,768,512,65536,393216,254/255/254/0,130.09/134.73/146.98/0.0,none,images/reference/runtimecolorfilter.png,images/generated/runtimecolorfilter.png,images/diff/runtimecolorfilter.png,
runtimefunctions,runtimefunctions,RUNTIME_EFFECT,runtime-effect-registered,instrumented-existing,10.25848388671875,10.25848388671875,true,256,256,6723,65536,245/240/213/0,158.32/123.59/64.59/0.0,none,images/reference/runtimefunctions.png,images/generated/runtimefunctions.png,images/diff/runtimefunctions.png,
runtime_shader,runtime_shader,RUNTIME_EFFECT,runtime-effect-registered,instrumented-existing,50.0,50.0,true,512,256,65536,131072,255/255/255/0,128.94/133.24/224.11/0.0,none,images/reference/runtime_shader.png,images/generated/runtime_shader.png,images/diff/runtime_shader.png,
simplert,simplert,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/simplert.png,,reference-missing
spiral_rt,spiral_rt,RUNTIME_EFFECT,runtime-effect-registered,instrumented-existing,0.0,0.0,true,512,512,0,262144,148/199/240/0,121.01/128.96/223.2/0.0,none,images/reference/spiral_rt.png,images/generated/spiral_rt.png,images/diff/spiral_rt.png,
threshold_rt,threshold_rt,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,0.006103515625,0.006103515625,true,256,256,4,65536,255/255/255/0,128.59/125.91/168.77/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/threshold_rt.png,images/generated/threshold_rt.png,images/diff/threshold_rt.png,
unsharp_rt,unsharp_rt,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,1.0223388671875,1.0223388671875,true,512,256,1340,131072,255/255/255/0,100.98/105.01/117.86/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/unsharp_rt.png,images/generated/unsharp_rt.png,images/diff/unsharp_rt.png,
workingspace,workingspace,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,14.464285714285715,14.464285714285715,true,200,350,10125,70000,255/199/255/0,167.15/15.79/152.98/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/workingspace.png,images/generated/workingspace.png,images/diff/workingspace.png,
