name,subfamily,classification,similarity,minSimilarity,fallbackReason,noScoreCause
encode,animation-gated,expected-unsupported,14.609212239583332,0.0,dependency.image.codec.unregistered,
all_bitmap_configs,texture-cache-candidate,instrumented-existing,0.4659016927083333,0.0,none,
all_variants_8888,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
alpha_image_alpha_tint,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
animatedGif,animation-gated,expected-unsupported,37.50159022703549,0.0,dependency.image.codec.unregistered,
anisomips,mipmap-gated,expected-unsupported,14.79585798816568,0.0,unsupported.image.mipmap_budget_exceeded,
anisotropic_image_scale,texture-cache-candidate,no-score,,0.0,none,reference-missing
anisotropic_image_scale_aniso,texture-cache-candidate,instrumented-existing,49.658120834939695,0.0,none,
anisotropic_image_scale_linear,strict-nearest-linear,instrumented-existing,49.658120834939695,0.0,none,
anisotropic_image_scale_mip,mipmap-gated,expected-unsupported,39.667758991022744,0.0,unsupported.image.mipmap_budget_exceeded,
async_rescale_and_read_alpha_type,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
async_rescale_and_read_rose,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
async_rescale_and_read_no_bleed,texture-cache-candidate,no-score,,0.0,none,size-mismatch
attributes,texture-cache-candidate,no-score,,0.0,none,reference-missing
async_yuv_no_scale,yuv-gated,expected-unsupported,56.666666666666664,0.0,unsupported.color.yuv_conversion,
bc1_transparency,texture-cache-candidate,instrumented-existing,14.285714285714285,0.0,none,
bicubic,texture-cache-candidate,instrumented-existing,78.88333333333334,0.0,none,
bigmatrix,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
